period,due,received,total_due_cents,principal_cents,interest_cents,tax_cents,hazard_cents,mip_cents
1,2026-11-01,2026-11-01,336501,42698,234375,28500,12500,18428
2,2026-12-01,2026-12-01,336501,42920,234153,28500,12500,18428
3,2027-01-01,2027-01-01,336501,43144,233929,28500,12500,18428
4,2027-02-01,2027-02-01,336501,43369,233704,28500,12500,18428
5,2027-03-01,2027-03-01,336501,43595,233478,28500,12500,18428
6,2027-04-01,2027-04-01,336501,43822,233251,28500,12500,18428
7,2027-05-01,2027-05-01,336501,44050,233023,28500,12500,18428
8,2027-06-01,2027-06-01,336501,44279,232794,28500,12500,18428
9,2027-07-01,2027-07-01,336501,44510,232563,28500,12500,18428
10,2027-08-01,2027-08-01,336501,44742,232331,28500,12500,18428
11,2027-09-01,2027-09-01,336501,44975,232098,28500,12500,18428
12,2027-10-01,2027-10-01,336501,45209,231864,28500,12500,18428
